invoice_id,so_id,no_urut,nama_produk,qty_delivered,unit_price,total
009513,SO240009,3,Tiang Infus Stainless 5-Roda,47,651000,30597000
009513,SO240009,4,IV Catheter 18G,58,258500,14993000
009514,SO240010,1,Termometer Digital Axilla,158,88000,13904000
009514,SO240010,2,Pot Urine 60ml Bertutup,135,126500,17077500
009514,SO240010,3,Rapid Test HIV,48,417000,20016000
009514,SO240010,4,Benang Silk 3-0,147,327000,48069000
009514,SO240010,5,Skalpel Handle No.3,98,82000,8036000
009515,SO240011,1,NGT 16Fr,108,29000,3132000
009515,SO240011,2,Handscoon Steril 7.0,176,320000,56320000
009515,SO240011,3,syringe 3ml,136,46000,6256000
009515,SO240011,4,Syringe 10ml,42,71500,3003000
009516,SO240012,1,Bedpan Plastik Dewasa,182,42500,7735000
009516,SO240012,2,Jarum Vacutainer 21G,107,161500,17280500
009516,SO240012,3,Stethoscope Anak,170,388500,66045000
009517,SO240013,1,Duk Operasi 80x90cm,123,40500,4981500
009518,SO240014,1,Blade Skalpel No.10,53,113000,5989000
009518,SO240014,2,Sarung Bantal Pasien,30,40000,1200000
009519,SO240015,1,Termometer Infrared,39,209000,8151000
009519,SO240015,2,Tensimeter Digital Lengan,70,391500,27405000
009519,SO240015,3,Walker Lipat Dewasa,13,581500,7559500
009519,SO240015,4,Termometer Digital Axilla,46,83500,3841000
009520,SO240015,1,Termometer Infrared,43,209000,8987000
009520,SO240015,2,Tensimeter Digital Lengan,77,391500,30145500
009520,SO240015,3,Walker Lipat Dewasa,15,581500,8722500
009520,SO240015,4,Termometer Digital Axilla,51,83500,4258500
009521,SO240016,1,Gunting Bedah Bengkok 14cm,83,110000,9130000
009521,SO240016,2,Benang Silk 3-0,165,292500,48262500
009521,SO240016,3,Kursi Roda Lipat Ringan,66,2835000,187110000
009521,SO240016,4,Sarung Tangan Nitril S,58,160500,9309000
009522,SO240017,1,Handscoon Steril 7.0,20,357500,7150000
009522,SO240017,2,Termometer Infrared,59,218000,12862000
009523,SO240017,1,Handscoon Steril 7.0,13,357500,4647500
009523,SO240017,2,Termometer Infrared,35,218000,7630000
009524,SO240018,1,Tongkat Ketiak Aluminium,8,219500,1756000
009524,SO240018,2,Klem Arteri Lurus,100,136000,13600000
009524,SO240018,3,Duk Operasi 80x90cm,85,47000,3995000
009524,SO240018,4,Slide Kaca 76x26mm,124,109000,13516000
009525,SO240018,1,Tongkat Ketiak Aluminium,7,219500,1536500
009525,SO240018,2,Klem Arteri Lurus,79,136000,10744000
009525,SO240018,3,Duk Operasi 80x90cm,68,47000,3196000
009525,SO240018,4,Slide Kaca 76x26mm,98,109000,10682000
009526,SO240019,1,Syringe 1ml,24,48000,1152000
009526,SO240019,2,Handscoon Steril 7.5,43,421000,18103000
009526,SO240019,3,Stethoscope Anak,27,302000,8154000
009526,SO240019,4,Baju Pasien Dewasa,78,59500,4641000
009527,SO240019,1,Syringe 1ml,16,48000,768000
009527,SO240019,2,Handscoon Steril 7.5,28,421000,11788000
009527,SO240019,3,Stethoscope Anak,18,302000,5436000
009527,SO240019,4,Baju Pasien Dewasa,50,59500,2975000
009528,SO240020,1,Pinset Bedah 14cm,36,48000,1728000
009528,SO240020,2,Sarung Tangan Nitril M,80,126000,10080000
009528,SO240020,3,Objek Glass Frosted,113,79000,8927000
009529,SO240020,1,Pinset Bedah 14cm,25,48000,1200000
009529,SO240020,2,Sarung Tangan Nitril M,54,126000,6804000
009529,SO240020,3,Objek Glass Frosted,76,79000,6004000
009530,SO240022,1,Bedpan Plastik Dewasa,32,26500,848000
009530,SO240022,2,Rapid Test HIV,17,494500,8406500
009531,SO240022,1,Bedpan Plastik Dewasa,29,26500,768500
009531,SO240022,2,Rapid Test HIV,16,494500,7912000
009532,SO240023,1,Baju Pasien Dewasa,135,64000,8640000
009533,SO240024,1,Benang Silk 3-0,77,277500,21367500
009533,SO240024,2,Sarung Bantal Pasien,67,36500,2445500
009533,SO240024,3,Cover Glass 18x18mm,87,73000,6351000
009533,SO240024,4,Sarung Tangan Nitril S,18,172000,3096000
009533,SO240024,5,Gunting Bedah Bengkok 14cm,101,95000,9595000
009534,SO240024,1,Benang Silk 3-0,74,277500,20535000
009534,SO240024,2,Sarung Bantal Pasien,64,36500,2336000
009534,SO240024,3,Cover Glass 18x18mm,84,73000,6132000
009534,SO240024,4,Sarung Tangan Nitril S,18,172000,3096000
009534,SO240024,5,Gunting Bedah Bengkok 14cm,96,95000,9120000
009535,SO240025,1,Perlak Waterproof 90x180cm,43,326000,14018000
009535,SO240025,2,Pinset Bedah 14cm,25,78500,1962500
009535,SO240025,3,Penlight Diagnostik,153,46500,7114500
009536,SO240026,1,Tiang Infus Stainless 5-Roda,49,794500,38930500
009536,SO240026,2,Handscoon Steril 7.0,133,339000,45087000
009537,SO240027,1,IV Catheter 22G,16,260000,4160000
009537,SO240027,2,Kursi Roda Standar,178,1761000,313458000
009537,SO240027,3,Kassa Steril 10x10cm,17,36000,612000
009537,SO240027,4,Slide Kaca 76x26mm,79,106000,8374000
009537,SO240027,5,Klem Arteri Lurus,89,164500,14640500
009538,SO240028,1,Pot Sputum 50ml Bertutup,56,97500,5460000
009538,SO240028,2,Masker Bedah 3-Ply,22,47000,1034000
009538,SO240028,3,Rapid Test Antigen,39,539000,21021000
009538,SO240028,4,Syringe 3ml,41,70500,2890500
009539,SO240028,1,Pot Sputum 50ml Bertutup,66,97500,6435000
009539,SO240028,2,Masker Bedah 3-Ply,26,47000,1222000
009539,SO240028,3,Rapid Test Antigen,47,539000,25333000
009539,SO240028,4,Syringe 3ml,49,70500,3454500
009540,SO240029,1,Infus Set Anak,69,13000,897000
009540,SO240029,2,Syringe 3ml,15,45500,682500
009541,SO240029,1,Infus Set Anak,44,13000,572000
009541,SO240029,2,Syringe 3ml,10,45500,455000
009542,SO240030,1,Tensimeter Manual Dewasa,113,152500,17232500
009543,SO240031,1,Objek Glass Frosted,111,85500,9490500
009544,SO240032,1,Skalpel Handle No.3,34,110500,3757000
009545,SO240032,1,Skalpel Handle No.3,26,110500,2873000
009546,SO240033,1,Tensimeter Digital Lengan,47,370000,17390000
009546,SO240033,2,Holder Vacutainer,100,136500,13650000
009546,SO240033,3,Kursi Roda Standar,18,2490000,44820000
009547,SO240033,1,Tensimeter Digital Lengan,47,370000,17390000
009547,SO240033,2,Holder Vacutainer,98,136500,13377000
009547,SO240033,3,Kursi Roda Standar,19,2490000,47310000
009548,SO240034,1,Pinset Bedah 14cm,70,74500,5215000
009548,SO240034,2,Selimut Pasien Rumah Sakit,82,95000,7790000
009548,SO240034,3,Rapid Test Antigen,28,445500,12474000
009548,SO240034,4,Stethoscope Dewasa,60,254000,15240000
009549,SO240034,1,Pinset Bedah 14cm,62,74500,4619000
009549,SO240034,2,Selimut Pasien Rumah Sakit,73,95000,6935000
009549,SO240034,3,Rapid Test Antigen,26,445500,11583000
009549,SO240034,4,Stethoscope Dewasa,54,254000,13716000
009550,SO240035,1,Tongkat Ketiak Aluminium,33,319500,10543500
009550,SO240035,2,Termometer Infrared,181,175500,31765500
009550,SO240035,3,Masker Bedah 3-Ply,140,47000,6580000
009550,SO240035,4,Klem Arteri Lurus,14,167500,2345000
009550,SO240035,5,Tabung Vacutainer EDTA,89,173500,15441500
009551,SO240036,1,Penlight Diagnostik,19,47000,893000
009551,SO240036,2,Urine Stick 10 Parameter,168,234500,39396000
009551,SO240036,3,Handscoon Steril 7.0,162,379000,61398000
009551,SO240036,4,Tensimeter Manual Dewasa,49,171500,8403500
009551,SO240036,5,Gunting Bedah Bengkok 14cm,56,101500,5684000
009552,SO240037,1,Objek Glass Frosted,38,89000,3382000
009552,SO240037,2,Stethoscope Dewasa,118,329500,38881000
009552,SO240037,3,Kasur Angin Anti Decubitus,78,1334000,104052000
009552,SO240037,4,Syringe 1ml,52,70500,3666000
009553,SO240037,1,Objek Glass Frosted,21,89000,1869000
009553,SO240037,2,Stethoscope Dewasa,64,329500,21088000
009553,SO240037,3,Kasur Angin Anti Decubitus,43,1334000,57362000
009553,SO240037,4,Syringe 1ml,29,70500,2044500
009554,SO240038,1,Benang Catgut 2-0,46,312000,14352000
009554,SO240038,2,Urine Bag 2000ml,47,12500,587500
009554,SO240038,3,Gunting Bedah Lurus 14cm,46,109500,5037000
009554,SO240038,4,Strip Gula Darah,7,162000,1134000
009554,SO240038,5,Syringe 20ml,15,87500,1312500
009555,SO240038,1,Benang Catgut 2-0,63,312000,19656000
009555,SO240038,2,Urine Bag 2000ml,65,12500,812500
009555,SO240038,3,Gunting Bedah Lurus 14cm,63,109500,6898500
009555,SO240038,4,Strip Gula Darah,11,162000,1782000
009555,SO240038,5,Syringe 20ml,21,87500,1837500
009556,SO240039,1,Urine Bag 2000ml,65,17000,1105000
009556,SO240039,2,Pulse Oximeter,94,300000,28200000
009557,SO240039,1,Urine Bag 2000ml,62,17000,1054000
009557,SO240039,2,Pulse Oximeter,90,300000,27000000
009558,SO240040,1,Sarung Tangan Nitril S,13,161500,2099500
009558,SO240040,2,Perlak Waterproof 90x180cm,67,278000,18626000
009558,SO240040,3,Infus Set Dewasa,45,14000,630000
009558,SO240040,4,Jarum Vacutainer 21G,8,167000,1336000
009559,SO240040,1,Sarung Tangan Nitril S,12,161500,1938000
009559,SO240040,2,Perlak Waterproof 90x180cm,60,278000,16680000
009559,SO240040,3,Infus Set Dewasa,41,14000,574000
009559,SO240040,4,Jarum Vacutainer 21G,8,167000,1336000
009560,SO240041,1,Rapid Test HIV,31,311000,9641000
009561,SO240041,1,Rapid Test HIV,31,311000,9641000
009562,SO240042,1,Termometer Infrared,104,241000,25064000
009562,SO240042,2,Urine Bag 2000ml,142,14000,1988000
009562,SO240042,3,Tensimeter Manual Dewasa,31,245500,7610500
009562,SO240042,4,Handscoon Steril 7.0,118,300500,35459000
009563,SO240043,1,Handscoon Steril 7.5,20,372500,7450000
009563,SO240043,2,Spalk Lengan Anak,167,27000,4509000
009563,SO240043,3,Holder Vacutainer,80,122000,9760000
009563,SO240043,4,Glukometer Set,24,269500,6468000
009564,SO240044,1,Handscoon Steril 7.5,54,380500,20547000
009564,SO240044,2,Kursi Roda Lipat Ringan,82,1568000,128576000
009564,SO240044,3,Tongkat Ketiak Aluminium,87,190000,16530000
009565,SO240044,1,Handscoon Steril 7.5,61,380500,23210500
009565,SO240044,2,Kursi Roda Lipat Ringan,92,1568000,144256000
009565,SO240044,3,Tongkat Ketiak Aluminium,98,190000,18620000
009566,SO240045,1,Penlight Diagnostik,42,33000,1386000
009566,SO240045,2,Infus Set Dewasa,30,15000,450000
009566,SO240045,3,NGT 16Fr,19,25500,484500
009566,SO240045,4,Sarung Tangan Nitril M,37,179000,6623000
009567,SO240045,1,Penlight Diagnostik,24,33000,792000
009567,SO240045,2,Infus Set Dewasa,18,15000,270000
009567,SO240045,3,NGT 16Fr,11,25500,280500
009567,SO240045,4,Sarung Tangan Nitril M,21,179000,3759000
009568,SO240046,1,Syringe 5ml,100,62000,6200000
009568,SO240046,2,Gunting Bedah Bengkok 14cm,83,97000,8051000
009568,SO240046,3,Rapid Test HbsAg,107,302500,32367500
009568,SO240046,4,Timbangan Bayi Digital,16,512000,8192000
009568,SO240046,5,Stethoscope Anak,71,388000,27548000
009569,SO240046,1,Syringe 5ml,88,62000,5456000
009569,SO240046,2,Gunting Bedah Bengkok 14cm,73,97000,7081000
009569,SO240046,3,Rapid Test HbsAg,94,302500,28435000
009569,SO240046,4,Timbangan Bayi Digital,15,512000,7680000
009569,SO240046,5,Stethoscope Anak,63,388000,24444000
009570,SO240047,1,Walker Lipat Dewasa,49,509500,24965500
009570,SO240047,2,Bisturi Elektrik Disposable,52,141000,7332000
009570,SO240047,3,Urine Stick 10 Parameter,92,259000,23828000
009570,SO240047,4,Glukometer Set,98,386000,37828000
009570,SO240047,5,Bantal Angin Anti Decubitus,82,200500,16441000
009571,SO240048,1,Rapid Test HIV,49,345000,16905000
009571,SO240048,2,Stethoscope Dewasa,178,343500,61143000
009571,SO240048,3,Kursi Roda Standar,194,2469000,478986000
009571,SO240048,4,Perlak Waterproof 90x180cm,96,327500,31440000
009571,SO240048,5,Syringe 3ml,20,72000,1440000
009572,SO240049,1,Handscoon Steril 6.5,45,448500,20182500
009572,SO240049,2,Pinset Anatomis 14cm,47,71500,3360500
009572,SO240049,3,Benang Catgut 2-0,39,356500,13903500
009572,SO240049,4,Glukometer Set,46,369000,16974000
009572,SO240049,5,Stethoscope Dewasa,15,360500,5407500
009573,SO240049,1,Handscoon Steril 6.5,48,448500,21528000
009573,SO240049,2,Pinset Anatomis 14cm,49,71500,3503500
009573,SO240049,3,Benang Catgut 2-0,41,356500,14616500
009573,SO240049,4,Glukometer Set,49,369000,18081000
009573,SO240049,5,Stethoscope Dewasa,16,360500,5768000
009574,SO240050,1,Syringe 1ml,116,58500,6786000
009574,SO240050,2,Selimut Pasien Rumah Sakit,51,65500,3340500
009574,SO240050,3,Syringe 10ml,64,74000,4736000
009574,SO240050,4,Cover Glass 18x18mm,135,65500,8842500
009575,SO240050,1,Syringe 1ml,71,58500,4153500
009575,SO240050,2,Selimut Pasien Rumah Sakit,32,65500,2096000
009575,SO240050,3,Syringe 10ml,40,74000,2960000
009575,SO240050,4,Cover Glass 18x18mm,83,65500,5436500
009576,SO240051,1,Infus Set Dewasa,61,9000,549000
009577,SO240051,1,Infus Set Dewasa,56,9000,504000
009578,SO240052,1,Tensimeter Digital Lengan,164,483500,79294000
009578,SO240052,2,Baju Pasien Dewasa,112,68000,7616000
009579,SO240053,1,Syringe 10ml,51,68000,3468000
009579,SO240053,2,Urine Bag 2000ml,167,18000,3006000
009579,SO240053,3,Cover Glass 18x18mm,86,84000,7224000
009580,SO240054,1,Tensimeter Manual Dewasa,162,212000,34344000
009581,SO240055,1,Kursi Roda Standar,47,1708000,80276000
009581,SO240055,2,Gunting Bedah Bengkok 14cm,18,94500,1701000
009581,SO240055,3,Strip Gula Darah,58,122500,7105000
009581,SO240055,4,Infus Set Anak,122,10500,1281000
009582,SO240056,1,Klem Arteri Lurus,93,207000,19251000
009582,SO240056,2,Pinset Anatomis 14cm,132,74500,9834000
009582,SO240056,3,Rapid Test Antigen,106,432000,45792000
009582,SO240056,4,Sarung Tangan Nitril S,54,150000,8100000
009582,SO240056,5,Baju Pasien Dewasa,146,57500,8395000
009583,SO240057,1,Stethoscope Dewasa,186,365000,67890000
009583,SO240057,2,Handscoon Steril 7.5,135,363000,49005000
009584,SO240058,1,Kasur Angin Anti Decubitus,88,933000,82104000
009584,SO240058,2,Urine Bag 2000ml,45,19500,877500
009584,SO240058,3,Syringe 3ml,56,66500,3724000
009585,SO240058,1,Kasur Angin Anti Decubitus,113,933000,105429000
009585,SO240058,2,Urine Bag 2000ml,58,19500,1131000
009585,SO240058,3,Syringe 3ml,72,66500,4788000
009586,SO240059,1,Handscoon Steril 7.0,150,321500,48225000
009587,SO240060,1,Handscoon Steril 6.5,37,389500,14411500
009588,SO240060,1,Handscoon Steril 6.5,28,389500,10906000
009589,SO240061,1,Handscoon Steril 7.5,42,322500,13545000
009590,SO240061,1,Handscoon Steril 7.5,42,322500,13545000
009591,SO240062,1,IV Catheter 20G,46,223000,10258000
009591,SO240062,2,Klem Arteri Bengkok,52,196500,10218000
009591,SO240062,3,Tiang Infus Stainless 5-Roda,117,750500,87808500
009591,SO240062,4,Walker Lipat Dewasa,7,487000,3409000
009592,SO240062,1,IV Catheter 20G,45,223000,10035000
009592,SO240062,2,Klem Arteri Bengkok,50,196500,9825000
009592,SO240062,3,Tiang Infus Stainless 5-Roda,111,750500,83305500
009592,SO240062,4,Walker Lipat Dewasa,7,487000,3409000
009593,SO240063,1,Bedpan Plastik Dewasa,87,50000,4350000
009593,SO240063,2,Pot Sputum 50ml Bertutup,99,127500,12622500
009593,SO240063,3,Benang Catgut 2-0,121,307500,37207500
009593,SO240063,4,Kursi Roda Lipat Ringan,49,2927000,143423000
009593,SO240063,5,Bantal Angin Anti Decubitus,109,201500,21963500
009594,SO240063,1,Bedpan Plastik Dewasa,45,50000,2250000
009594,SO240063,2,Pot Sputum 50ml Bertutup,51,127500,6502500
009594,SO240063,3,Benang Catgut 2-0,62,307500,19065000
009594,SO240063,4,Kursi Roda Lipat Ringan,26,2927000,76102000
009594,SO240063,5,Bantal Angin Anti Decubitus,56,201500,11284000
009595,SO240064,1,Tabung Vacutainer Citrate,154,175000,26950000
009595,SO240064,2,Glukometer Set,153,371000,56763000
009595,SO240064,3,Cover Glass 18x18mm,182,65000,11830000
009595,SO240064,4,Perlak Waterproof 90x180cm,195,185500,36172500
009596,SO240065,1,IV Catheter 20G,105,230000,24150000
009596,SO240065,2,Kasur Angin Anti Decubitus,124,1762000,218488000
009596,SO240065,3,Klem Arteri Lurus,106,169000,17914000
009596,SO240065,4,Infus Set Dewasa,30,13500,405000
009597,SO240066,1,Bedpan Plastik Dewasa,86,40000,3440000
009598,SO240067,1,Tensimeter Manual Dewasa,167,250500,41833500
009598,SO240067,2,Kasur Angin Anti Decubitus,14,1102500,15435000
009598,SO240067,3,Masker Bedah 3-Ply,62,37000,2294000
009598,SO240067,4,Gunting Bedah Bengkok 14cm,35,84500,2957500
009599,SO240068,1,Pinset Anatomis 14cm,69,78000,5382000
009599,SO240068,2,Urinal Pria Plastik,91,39000,3549000
009599,SO240068,3,Termometer Digital Axilla,163,89000,14507000
009600,SO240069,1,Pot Sputum 50ml Bertutup,170,119500,20315000
009600,SO240069,2,Kasur Angin Anti Decubitus,119,1433000,170527000
009601,SO240070,1,Infus Set Anak,71,15000,1065000
009601,SO240070,2,Tongkat Ketiak Aluminium,67,229000,15343000
009601,SO240070,3,Klem Arteri Bengkok,191,139000,26549000
009601,SO240070,4,IV Catheter 22G,128,187500,24000000
009602,SO240071,1,Kassa Steril 10x10cm,23,39000,897000
009602,SO240071,2,Pulse Oximeter,106,338500,35881000
009603,SO240072,1,Slide Kaca 76x26mm,134,67500,9045000
009603,SO240072,2,Infus Set Dewasa,89,10000,890000
009604,SO240072,1,Slide Kaca 76x26mm,67,67500,4522500
009604,SO240072,2,Infus Set Dewasa,45,10000,450000
009605,SO240073,1,Walker Lipat Dewasa,14,486500,6811000
009605,SO240073,2,Strip Gula Darah,151,196500,29671500
009606,SO240074,1,NGT 16Fr,109,28500,3106500
009606,SO240074,2,Rapid Test HIV,112,428500,47992000
009606,SO240074,3,Skalpel Handle No.3,71,71000,5041000
009606,SO240074,4,Tensimeter Digital Lengan,111,558500,61993500
009607,SO240074,1,NGT 16Fr,115,28500,3277500
009607,SO240074,2,Rapid Test HIV,117,428500,50134500
009607,SO240074,3,Skalpel Handle No.3,75,71000,5325000
009607,SO240074,4,Tensimeter Digital Lengan,116,558500,64786000
009608,SO240075,1,Handscoon Steril 6.5,168,447000,75096000
009609,SO240076,1,IV Catheter 22G,37,192500,7122500
009609,SO240076,2,Jarum Vacutainer 21G,144,139500,20088000
009610,SO240077,1,Tabung Vacutainer Plain,86,229500,19737000
009610,SO240077,2,Termometer Infrared,30,205500,6165000
009611,SO240078,1,Tabung Vacutainer EDTA,80,234500,18760000
009611,SO240078,2,Urinal Pria Plastik,62,38500,2387000
009611,SO240078,3,Syringe 1ml,22,74500,1639000
009611,SO240078,4,Termometer Infrared,96,240500,23088000
009612,SO240078,1,Tabung Vacutainer EDTA,39,234500,9145500
009612,SO240078,2,Urinal Pria Plastik,31,38500,1193500
009612,SO240078,3,Syringe 1ml,11,74500,819500
009612,SO240078,4,Termometer Infrared,47,240500,11303500
009613,SO240079,1,Tabung Vacutainer Plain,114,257500,29355000
009613,SO240079,2,Bisturi Elektrik Disposable,92,163500,15042000
009613,SO240079,3,Syringe 10ml,67,80000,5360000
009613,SO240079,4,Handscoon Steril 7.0,124,316500,39246000
009614,SO240079,1,Tabung Vacutainer Plain,109,257500,28067500
009614,SO240079,2,Bisturi Elektrik Disposable,88,163500,14388000
009614,SO240079,3,Syringe 10ml,64,80000,5120000
009614,SO240079,4,Handscoon Steril 7.0,118,316500,37347000
009615,SO240080,1,Kursi Roda Standar,168,1819500,305676000
009616,SO240081,1,Rapid Test HIV,38,416500,15827000
009617,SO240081,1,Rapid Test HIV,39,416500,16243500
009618,SO240082,1,Tabung Vacutainer EDTA,185,200000,37000000
009618,SO240082,2,Handscoon Steril 6.5,53,316500,16774500
009619,SO240083,1,Klem Arteri Lurus,162,201000,32562000
009619,SO240083,2,Pinset Anatomis 14cm,60,70000,4200000
009619,SO240083,3,Perlak Waterproof 90x180cm,37,215500,7973500
009619,SO240083,4,Spalk Lengan Anak,87,20000,1740000
009620,SO240084,1,Plester Luka 5x10cm,132,30000,3960000
009620,SO240084,2,Sarung Tangan Nitril S,55,146000,8030000
009621,SO240085,1,IV Catheter 20G,161,251500,40491500
009621,SO240085,2,Plester Luka 5x10cm,56,36000,2016000
009622,SO240086,1,Syringe 5ml,71,58500,4153500
009622,SO240086,2,Handscoon Steril 7.0,178,320500,57049000
009622,SO240086,3,Pinset Anatomis 14cm,193,67500,13027500
009623,SO240087,1,Rapid Test HIV,189,440500,83254500
009623,SO240087,2,Objek Glass Frosted,162,107000,17334000
009623,SO240087,3,Tongkat Ketiak Aluminium,31,178500,5533500
009624,SO240088,1,Stethoscope Dewasa,38,238000,9044000
009625,SO240088,1,Stethoscope Dewasa,39,238000,9282000
009626,SO240089,1,IV Catheter 22G,34,237500,8075000
009626,SO240089,2,Slide Kaca 76x26mm,194,105500,20467000
009626,SO240089,3,Bisturi Elektrik Disposable,125,162000,20250000
009626,SO240089,4,Baju Pasien Dewasa,27,54500,1471500
009627,SO240090,1,Sarung Tangan Nitril L,153,148000,22644000
009627,SO240090,2,Urine Stick 10 Parameter,128,261000,33408000
009627,SO240090,3,Termometer Infrared,113,202500,22882500
009628,SO240091,1,Infus Set Anak,57,11000,627000
009628,SO240091,2,Tensimeter Digital Lengan,93,401500,37339500
009628,SO240091,3,Plester Luka 5x10cm,127,27000,3429000
009628,SO240091,4,Klem Arteri Bengkok,77,208000,16016000
009628,SO240091,5,Urine Bag 2000ml,135,16500,2227500
009629,SO240092,1,Perlak Waterproof 90x180cm,31,215000,6665000
009629,SO240092,2,Syringe 1ml,90,49000,4410000
009629,SO240092,3,Termometer Infrared,71,160000,11360000
009629,SO240092,4,Kursi Roda Lipat Ringan,39,1884000,73476000
009629,SO240092,5,Penlight Diagnostik,105,34500,3622500
009630,SO240093,1,Syringe 3ml,57,55500,3163500
009630,SO240093,2,Syringe 10ml,125,75500,9437500
009631,SO240094,1,Pot Urine 60ml Bertutup,135,81000,10935000
009631,SO240094,2,Tensimeter Digital Lengan,31,498000,15438000
009631,SO240094,3,Syringe 5ml,17,76000,1292000
009631,SO240094,4,Masker Bedah 3-Ply,66,44500,2937000
009632,SO240095,1,Masker Surgical 3 Ply,149,47000,7003000
009632,SO240095,2,IV Catheter 20G,148,185500,27454000
009632,SO240095,3,Klem Arteri Bengkok,194,178000,34532000
009633,SO240096,1,Infus Set Anak,122,9000,1098000
009634,SO240097,1,Syringe 1ml,99,62500,6187500
009634,SO240097,2,Tiang Infus Stainless 5-Roda,81,763000,61803000
009634,SO240097,3,Syringe 3ml,147,50500,7423500
009634,SO240097,4,Tabung Vacutainer EDTA,92,278500,25622000
009634,SO240097,5,Sarung Bantal Pasien,190,29500,5605000
009635,SO240098,1,Plester Luka 5x10cm,189,39000,7371000
009635,SO240098,2,Holder Vacutainer,43,96500,4149500
009636,SO240099,1,NGT 16Fr,113,26500,2994500
009637,SO240100,1,Blade Skalpel No.10,26,142000,3692000
009637,SO240100,2,Syringe 1ml,65,59000,3835000
009637,SO240100,3,Syringe 10ml,64,71000,4544000
009638,SO240101,1,Klem Arteri Lurus,14,136500,1911000
009638,SO240101,2,Gunting Bedah Lurus 14cm,50,138000,6900000
009638,SO240101,3,Klem Arteri Bengkok,126,120000,15120000
009638,SO240101,4,Skalpel Handle No.3,119,73500,8746500
009639,SO240102,1,Gunting Bedah Bengkok 14cm,23,132000,3036000
009639,SO240102,2,Pinset Anatomis 14cm,170,60000,10200000
009640,SO240103,1,Blade Skalpel No.10,12,91000,1092000
009640,SO240103,2,Benang Silk 3-0,188,290000,54520000
009640,SO240103,3,Syringe 1ml,40,73000,2920000
009640,SO240103,4,Tabung Vacutainer Citrate,118,194500,22951000
009641,SO240104,1,Urinal Pria Plastik,27,37500,1012500
009641,SO240104,2,Selimut Pasien Rumah Sakit,154,55500,8547000
009642,SO240105,1,Pot Sputum 50ml Bertutup,41,113500,4653500
009642,SO240105,2,Sarung Bantal Pasien,196,32500,6370000
009643,SO240106,1,Benang Catgut 2-0,62,385500,23901000
009643,SO240106,2,Selimut Pasien Rumah Sakit,165,88500,14602500
009643,SO240106,3,Urinal Pria Plastik,58,33000,1914000
009644,SO240107,1,Kasur Angin Anti Decubitus,43,1255500,53986500
009644,SO240107,2,Urinal Pria Plastik,155,34000,5270000
009644,SO240107,3,Pinset Anatomis 14cm,103,76000,7828000
009645,SO240108,1,Rapid Test HbsAg,173,420500,72746500
009646,SO240109,1,Syringe 20ml,117,87500,10237500
